date,score
17/07/2023,0.8600572869181634
30/04/2024,0.8171373829245567
4/01/2025,0.283916202140972
5/01/2025,0.25759666764901745
28/01/2025,0.2388080656528473
4/02/2025,0.3403199836611748
5/02/2025,0.2548909155385835
4/03/2025,-0.014570879
5/03/2025,0.47038733959198
6/03/2025,0.23672441100435598
7/03/2025,0.46344952023139707
9/03/2025,-0.104261756
10/03/2025,0.0699286162853241
11/03/2025,0.3733974887679021
12/03/2025,0.2685705215359728
13/03/2025,0.1319385137675064
14/03/2025,0.11425556602577368
15/03/2025,0.2737097639590502
16/03/2025,0.6013907544314862
17/03/2025,0.2891077112693053
18/03/2025,0.17035568542778493
19/03/2025,0.16921556188026443
20/03/2025,0.45037134052362554
21/03/2025,0.1838922535534948
22/03/2025,0.14370454268323052
23/03/2025,0.47387879115662407
24/03/2025,0.12811661089460055
25/03/2025,0.3083460632510282
26/03/2025,0.17844011470594487
27/03/2025,0.2938107084172467
28/03/2025,0.25921668764203787
29/03/2025,0.22385385153549064
30/03/2025,0.2063829241828485
31/03/2025,0.2093283274831871
1/04/2025,0.2794312786242766
4/04/2025,0.4506675580131083
5/04/2025,-0.348790102
6/04/2025,0.15246438980102542
7/04/2025,0.18893816357012846
8/04/2025,0.06803239462897182
9/04/2025,0.6393950821366161
10/04/2025,0.08451275117695331
11/04/2025,0.5770784944295884
12/04/2025,0.8621566034853458
13/04/2025,-0.030575333
14/04/2025,0.1295943799759111
15/04/2025,0.28318407269584583
16/04/2025,0.2757670715501582
17/04/2025,0.30474369655604716
18/04/2025,-0.414768283
19/04/2025,0.6926704570651054
20/04/2025,0.45166821777820587
21/04/2025,0.1334837929268057
22/04/2025,0.43064761348068714
23/04/2025,0.16013263382584506
24/04/2025,0.11188360070809722
25/04/2025,0.23136956956503646
26/04/2025,0.7724233940243721
27/04/2025,-0.350514309
28/04/2025,0.34866400610189885
29/04/2025,0.09926824766610351
30/04/2025,0.08598450972368159
1/05/2025,0.08520526224030898
2/05/2025,0.31798895813811284
3/05/2025,0.5917151818672816
4/05/2025,-0.589551791
5/05/2025,0.1955899377835208
6/05/2025,0.1368330596247688
7/05/2025,0.14178143737131152
8/05/2025,0.3190719380563255
9/05/2025,0.25090815149247647
10/05/2025,0.3679606467485428
11/05/2025,0.408283328016599
12/05/2025,0.3053832709168394
13/05/2025,0.1438205702847021
14/05/2025,0.008879658961368164
15/05/2025,0.1534805963174082
16/05/2025,-0.019505421
17/05/2025,0.5374846309423447
18/05/2025,0.5659535061568022
19/05/2025,0.1318282323800737
20/05/2025,0.11454031111613389
21/05/2025,-0.055415214
22/05/2025,0.0575649457461486
23/05/2025,0.19235253279012712
24/05/2025,0.18453345485031608
25/05/2025,0.12180529216882484
26/05/2025,-0.010832928
27/05/2025,0.20177075691450547
28/05/2025,0.16758745559491217
29/05/2025,0.16662201307429728
6/04/2025,0.3295693993568421
6/05/2025,0.04609232867757478
4/07/2025,0.1729086002764794
5/07/2025,0.2758144458962811
8/04/2025,0.08282835579787692
8/05/2025,0.5069435845630673
9/04/2025,0.38162010683919545
9/05/2025,0.26368109167863923
9/05/2025,0.19581773454944293
10/05/2025,0.18932877480983734
11/04/2025,0.42560925267636773
11/05/2025,0.5540325939655304
12/04/2025,0.8256331104785204
12/05/2025,0.47053133370354777
